Timestamp,Gender,Age,exercise_pre,type_exercise_pre,time_pre,low_intens_pre,social_workout_pre,days_exercise_lock,type_exercise_lock,diff_exercise,time_lock,low_intens_lock,social_workout_lock,motivation_diff,social_circle_exercise,zz,moderate_intens_pre,high_intens_pre,moderate_intens_lock,high_intens_lock,xx,yy
27/04/2021 15.38.53,Kvinde,50,3,"Holdtræning (online, løbeklub, fitnesshold), Sportsgren (fx. fodbold, atletik, tennis)",3-4 timer,1-25 %,2,2,Gåture,Det har ikke været det samme,1-2 timer,75-100%,3,1,Ja,,1-25%,25-50%,0%,0%,,
27/04/2021 15.41.29,Mand,18,6,"Gåture, Aktivt job",2-3 timer,50-75%,2,2,"Gåture, Job med meget gang",Det har ikke været det samme,Under 1 time,75-100%,1,1,Nej,,1-25%,0%,0%,0%,,
27/04/2021 15.49.04,Mand,23,6,"Gåture, Løb, Holdtræning (online, løbeklub, fitnesshold), yoga",2-3 timer,1-25 %,3,5,"Gåture, Løb, Vægttræning",Det har ikke været det samme,3-4 timer,25-50%,2,4,Ja,,50-75%,0%,25-50%,,,
27/04/2021 15.55.58,Kvinde,27,5,"Gåture, Løb, Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold), yoga, Hjemmetræning, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,25-50%,2,5,"Gåture, Løb, Cykling, Holdtræning (fx online, løbeklub, fitnesshold), Hjemmetræning, Havearbejde/Byggearbejde, Yoga",Det har ikke været det samme,3-4 timer,50-75%,1,2,Ja,,50-75%,1-25%,1-25%,1-25%,,
27/04/2021 15.59.36,Kvinde,21,2,"Gåture, Løb, Cykling",1-2 timer,25-50%,1,5,"Gåture, Løb",Det har været nogenlunde det sammen,2-3 timer,50-75%,1,4,Ja,,1-25%,0%,1-25%,0%,,
27/04/2021 16.19.14,Mand,20,6,Styrketræning,Over 5 timer,1-25 %,1,3,"Gåture, Vægttræning, Hjemmetræning",Det har ikke været det samme,4-5 timer,1-25%,0,1,Ja,,50-75%,25-50%,50-75%,0%,,
27/04/2021 16.43.52,Mand,22,5,"Løb, yoga, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,25-50%,3,6,"Gåture, Løb, Sportsgren (fx. fodbold, atletik, tennis)",Det har ikke været det samme,Over 5 timer,75-100%,2,3,Ja,,50-75%,25-50%,1-25%,1-25%,,
27/04/2021 16.59.41,Mand,23,5,"Gåture, Sportsgren (fx. fodbold, atletik, tennis)",4-5 timer,25-50%,4,4,Gåture,Det har ikke været det samme,2-3 timer,50-75%,3,2,Ja,,25-50%,,1-25%,0%,,
27/04/2021 17.27.57,Kvinde,21,3,"Styrketræning, yoga",4-5 timer,25-50%,4,1,Gåture,Det har ikke været det samme,1-2 timer,75-100%,2,2,Nej,,1-25%,1-25%,0%,0%,,
27/04/2021 17.30.53,Kvinde,22,5,"Cykling, yoga",2-3 timer,1-25 %,0,5,"Gåture, Løb, Cykling, Hjemmetræning",Det har ikke været det samme,4-5 timer,1-25%,4,5,Nej,,50-75%,0%,75-100%,0%,,
27/04/2021 17.32.59,Kvinde,48,7,"Gåture, Cykling",3-4 timer,50-75%,2,7,"Gåture, Cykling, Havearbejde/Byggearbejde",Det har været det helt samme,3-4 timer,50-75%,2,3,Ja,,1-25%,0%,1-25%,0%,,
